Epoch 1, Loss: 102831.0131433484, RMSE: 247.2366891639467, R^2: 0.28921157121658325
Epoch 2, Loss: 43088.121193405124, RMSE: 179.046923406268, R^2: 0.6272237300872803
Epoch 3, Loss: 28179.880972589483, RMSE: 162.25824564948925, R^2: 0.6938543319702148
Epoch 4, Loss: 25424.411220021037, RMSE: 157.7786411697572, R^2: 0.7105250358581543
Epoch 5, Loss: 24708.847493826164, RMSE: 154.03178573146843, R^2: 0.72411048412323
Epoch 6, Loss: 23899.78154410213, RMSE: 154.1142091214337, R^2: 0.7238151431083679
Epoch 7, Loss: 23485.65631750831, RMSE: 154.5415978587966, R^2: 0.7222810983657837
Epoch 8, Loss: 23303.508365713693, RMSE: 151.5217857685818, R^2: 0.7330286502838135
Epoch 9, Loss: 23003.349966451915, RMSE: 151.3546383910979, R^2: 0.7336173057556152
Epoch 10, Loss: 22871.60529412686, RMSE: 151.82352522748246, R^2: 0.7319642901420593
Epoch 11, Loss: 22533.028936500978, RMSE: 151.07220309135297, R^2: 0.7346105575561523
Epoch 12, Loss: 22398.76488043034, RMSE: 150.4518974207371, R^2: 0.7367854714393616
Epoch 13, Loss: 22307.619511920697, RMSE: 150.70934490145262, R^2: 0.735883891582489
Epoch 14, Loss: 22171.506694038166, RMSE: 151.9420569555217, R^2: 0.7315455675125122
Epoch 15, Loss: 22049.953326041228, RMSE: 149.94754291084598, R^2: 0.7385472655296326
Epoch 16, Loss: 21949.432695988406, RMSE: 149.77250978567463, R^2: 0.7391572594642639
Epoch 17, Loss: 21903.737716743708, RMSE: 148.67496137758033, R^2: 0.7429662942886353
Epoch 18, Loss: 21688.83937139791, RMSE: 149.58268773073306, R^2: 0.7398179769515991
Epoch 19, Loss: 21611.369248193183, RMSE: 149.83919114545768, R^2: 0.7389249801635742
Epoch 20, Loss: 21505.413392568647, RMSE: 150.09285537418162, R^2: 0.7380402684211731
Epoch 21, Loss: 21420.453795467136, RMSE: 150.63900349843, R^2: 0.7361303567886353
Epoch 22, Loss: 21861.641067925393, RMSE: 148.6248620163363, R^2: 0.7431394457817078
Epoch 23, Loss: 21269.057033104626, RMSE: 148.90313808395712, R^2: 0.7421766519546509
Epoch 24, Loss: 21209.625510907663, RMSE: 149.31251962117912, R^2: 0.7407570481300354
Epoch 25, Loss: 21049.147904213212, RMSE: 148.76303120441247, R^2: 0.7426615953445435
Epoch 26, Loss: 20984.59047374512, RMSE: 150.10057825921257, R^2: 0.7380132675170898
Epoch 27, Loss: 21226.682271197114, RMSE: 149.62765635695496, R^2: 0.7396615743637085
Epoch 28, Loss: 20825.755405198222, RMSE: 148.6632756643348, R^2: 0.7430066466331482
Epoch 29, Loss: 20743.803422358025, RMSE: 148.82129331433052, R^2: 0.7424600124359131
Epoch 30, Loss: 20584.435543907603, RMSE: 147.88054723323145, R^2: 0.7457057237625122
Model saved to ./swe_outputs/swe_model.h5
